TimeStamp,TravelTime,MAC
1683153882,262,58:1c:6c:7a:0b:dc
1683153883,293,e8:fb:1c:3c:e6:9e
1683153890,250,4a:9e:43:43:a6:aa
1683153890,250,68:04:38:14:2f:03
1683153889,249,ec:81:93:78:dd:8b
1683153889,250,04:52:c7:bb:cb:69
1683153899,254,3f:19:2c:74:2e:7d
1683153899,251,76:48:19:4a:73:53
1683153899,251,67:b9:a9:e2:9e:85
1683153909,259,2f:d1:c2:63:a9:b1
1683153914,240,6e:f0:79:f3:88:81
1683153916,242,67:b0:80:a6:f2:ec
1683153916,245,63:16:a9:f4:2e:2c
1683153916,242,3f:db:f6:dc:84:0b
1683153924,290,3c:68:16:1f:0a:8a
1683153917,246,02:6b:cb:f4:6d:d4
1683153925,290,6a:36:82:3b:2f:36
1683153924,292,30:21:45:46:e3:58
1683153965,288,6a:55:af:4c:6f:db
1683153955,281,30:e3:f7:bd:01:cd
1683153992,295,00:25:ca:45:01:5c
1683153963,288,00:25:ca:4c:96:c6
1683153963,298,41:f3:03:a0:e6:ab
1683153963,298,69:30:b4:71:2a:7a
1683153965,293,90:f1:57:9d:04:6b
1683153994,301,14:13:0b:1a:be:ac
1683153966,292,4d:62:3f:f5:8c:2d
1683153966,292,e2:e4:c4:3a:95:d4
1683153967,290,f6:11:0d:fd:ab:e8
1683153970,300,f0:5e:cd:e3:ff:2b
1683153980,291,25:fb:44:7e:2a:5e
1683153971,226,60:bc:0c:48:eb:b0
1683153969,225,46:20:c1:26:2f:2c
1683153979,228,6a:75:d6:cb:01:17
1683153980,229,50:43:bd:e8:a1:5c
1683153993,277,7e:db:cc:a1:fe:12
1683153993,298,b4:c2:6a:89:1d:7a
1683153989,291,4a:0a:b0:93:b9:2d
1683153993,223,18:af:0e:be:1a:60
1683153990,292,77:13:87:30:c6:30
1683154007,277,0b:3c:0a:24:96:b8
1683154039,299,e2:7e:01:e4:6f:ba
1683154002,215,96:21:04:09:2c:43
1683154004,231,70:f3:c6:ed:a5:52
